Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Rangifer tarandus,https://guides.nynhp.org/status/2.103369/,Caribou,Mammalia (Mammals),Artiodactyla (Even-toed Hoofed Mammals),Cervidae,G5,SX,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103369/Rangifer_tarandus/
Ranunculus ambigens,https://guides.nynhp.org/status/2.138155/,American Spearwort,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G2,S1S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138155/Ranunculus_ambigens/
Ranunculus cymbalaria,https://guides.nynhp.org/status/2.157689/,Seaside Buttercup,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G5,SH,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157689/Ranunculus_cymbalaria/
Ranunculus micranthus,https://guides.nynhp.org/status/2.138172/,Small-flowered Buttercup,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G5,S3,,Rare,,P,P,https://guides.nynhp.org/small-flowered-crowfoot/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138172/Ranunculus_micranthus/
Ranunculus pusillus,https://guides.nynhp.org/status/2.138321/,Low Spearwort,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138321/Ranunculus_pusillus/
Ranunculus septentrionalis,https://guides.nynhp.org/status/2.138542/,Southern Swamp Buttercup,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G5T5,S1,,Endangered,,Y,P,https://guides.nynhp.org/swamp-buttercup/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138542/Ranunculus_septentrionalis/
Raptor Winter Concentration Area,https://guides.nynhp.org/status/2.735991/,Raptor Winter Concentration Area,,,,GNR,SNRN,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.735991/Raptor_winter_concentration_area/
Rasvena terna,https://guides.nynhp.org/status/2.110969/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110969/Rasvena_terna/
Rattus norvegicus,https://guides.nynhp.org/status/2.105915/,Norway Rat,Mammalia (Mammals),Rodentia (Rodents),Muridae (Murid Rats and Mice),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105915/Rattus_norvegicus/
Rattus rattus,https://guides.nynhp.org/status/2.104007/,Black Rat,Mammalia (Mammals),Rodentia (Rodents),Muridae (Murid Rats and Mice),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104007/Rattus_rattus/
Recurvirostra americana,https://guides.nynhp.org/status/2.100007/,American Avocet,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)",Recurvirostridae,G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100007/Recurvirostra_americana/
Regina septemvittata,https://guides.nynhp.org/status/2.102448/,Queen Snake,Reptilia (Reptiles),"Squamata (Lizards, Snakes and Amphisbaenians)",Colubridae (Colubrid Snakes),G5,S1,,Endangered,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102448/Regina_septemvittata/
Regulus calendula,https://guides.nynhp.org/status/2.102517/,Ruby-crowned Kinglet,Aves (Birds),Passeriformes (Perching Birds),Regulidae,G5,S3B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102517/Regulus_calendula/
Regulus satrapa,https://guides.nynhp.org/status/2.100997/,Golden-crowned Kinglet,Aves (Birds),Passeriformes (Perching Birds),Regulidae,G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100997/Regulus_satrapa/
Remenus bilobatus,https://guides.nynhp.org/status/2.120886/,,Insecta (Insects),Plecoptera (Stoneflies),Perlodidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120886/Remenus_bilobatus/
Renia nemoralis,https://guides.nynhp.org/status/2.115493/,Chocolate Renia,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Erebidae,G4,SU,,,,Y,A,https://guides.nynhp.org/chocolate-renia/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115493/Renia_nemoralis/
Rhagium inquisitor,https://guides.nynhp.org/status/2.110331/,Ribbed Pine Borer,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110331/Rhagium_inquisitor/
Rhexia mariana var. mariana,https://guides.nynhp.org/status/2.144494/,Maryland Meadow Beauty,Dicotyledoneae (Dicots),Myrtales,Melastomataceae (Melastome Family),G5T5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144494/Rhexia_mariana_var_mariana/
