Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Abaeis nicippe,https://guides.nynhp.org/status/2.107534/,Sleepy Orange,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Pieridae (Whites and Sulphurs),G5,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107534/Abaeis_nicippe/
Abagrotis benjamini,https://guides.nynhp.org/status/2.120135/,Coastal Heathland Cutworm,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G3,S1S3,,,Yes (potential),Y,A,https://guides.nynhp.org/coastal-heathland-cutworm/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120135/Abagrotis_benjamini/
Abagrotis brunneipennis,https://guides.nynhp.org/status/2.112613/,Yankee Dart,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112613/Abagrotis_brunneipennis/
Abagrotis orbis,https://guides.nynhp.org/status/2.861304/,Well-marked Cutworm,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S1,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.861304/Abagrotis_orbis/
Acalypha virginica,https://guides.nynhp.org/status/2.136432/,Virginia Three-seeded Mercury,Dicotyledoneae (Dicots),Euphorbiales,Euphorbiaceae (Spurge Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136432/Acalypha_virginica/
Acantharchus pomotis,https://guides.nynhp.org/status/2.106210/,Mud Sunfish,Actinopterygii (Ray-finned Fishes),Centrarchiformes,Centrarchidae (sunfishes and freshwater basses),G4G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106210/Acantharchus_pomotis/
Acanthis flammea,https://guides.nynhp.org/status/2.1341892/,Redpoll,Aves (Birds),Passeriformes (Perching Birds),Fringillidae,GNR,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1341892/Acanthis_flammea/
Acaulon muticum,https://guides.nynhp.org/status/2.126605/,Dwarf Earth Moss,Bryopsida,Pottiales,Pottiaceae,G4G5,S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126605/Acaulon_muticum/
Accipiter atricapillus,https://guides.nynhp.org/status/2.101802/,American Goshawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,"S3S4B,S3N",,Special Concern,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101802/Accipiter_atricapillus/
Accipiter cooperii,https://guides.nynhp.org/status/2.100417/,Cooper's Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S4,,Special Concern,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100417/Accipiter_cooperii/
Accipiter striatus,https://guides.nynhp.org/status/2.771066/,Sharp-shinned Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S4,,Special Concern,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.771066/Accipiter_striatus/
Acella haldemani,https://guides.nynhp.org/status/2.113970/,Spindle Lymnaea,Gastropoda (Gastropods),Basommatophora,Lymnaeidae,G3,SNR,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113970/Acella_haldemani/
Acentrella barbarae,https://guides.nynhp.org/status/2.821553/,a mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G3?,S1S2,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.821553/Acentrella_barbarae/
Acentrella parvula,https://guides.nynhp.org/status/2.108665/,Ringed Small Minnow Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108665/Acentrella_parvula/
Acentrella turbida,https://guides.nynhp.org/status/2.109146/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109146/Acentrella_turbida/
Acerpenna macdunnoughi,https://guides.nynhp.org/status/2.117096/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117096/Acerpenna_macdunnoughi/
Acerpenna pygmaea,https://guides.nynhp.org/status/2.118403/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118403/Acerpenna_pygmaea/
Acipenser brevirostrum,https://guides.nynhp.org/status/2.105033/,Shortnose Sturgeon,Actinopterygii (Ray-finned Fishes),"Acipenseriformes (Paddlefishes, Spoonfishes, and Sturgeons)",Acipenseridae (Sturgeons),G3,S1,Endangered,Endangered,Yes,Y,A,https://guides.nynhp.org/shortnose-sturgeon/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105033/Acipenser_brevirostrum/
Acipenser fulvescens,https://guides.nynhp.org/status/2.104232/,Lake Sturgeon,Actinopterygii (Ray-finned Fishes),"Acipenseriformes (Paddlefishes, Spoonfishes, and Sturgeons)",Acipenseridae (Sturgeons),G3G4,S2S3,,Threatened,Yes,Y,A,https://guides.nynhp.org/lake-sturgeon/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104232/Acipenser_fulvescens/
Acipenser oxyrinchus,https://guides.nynhp.org/status/2.101214/,Atlantic Sturgeon,Actinopterygii (Ray-finned Fishes),"Acipenseriformes (Paddlefishes, Spoonfishes, and Sturgeons)",Acipenseridae (Sturgeons),G3,S1,Endangered,Endangered,Yes (high priority),Y,A,https://guides.nynhp.org/atlantic-sturgeon/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101214/Acipenser_oxyrinchus/
Acmaeops discoideus,https://guides.nynhp.org/status/2.808680/,Discoid Long-horned Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),GNR,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.808680/Acmaeops_discoideus/
Acmaeops proteus,https://guides.nynhp.org/status/2.746102/,Shapeless Flower Longhorn Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.746102/Acmaeops_proteus/
Aconitum noveboracense,https://guides.nynhp.org/status/2.149181/,Northern Monkshood,Dicotyledoneae (Dicots),Ranunculales,Ranunculaceae (Buttercup Family),G3,S1,Threatened,Endangered,,Y,P,https://guides.nynhp.org/northern-monkshood/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.149181/Aconitum_noveboracense/
Acris crepitans,https://guides.nynhp.org/status/2.828419/,Northern Cricket Frog,Amphibia (Amphibians),Anura (Frogs and Toads),Hylidae (New World Tree Frogs),G4,S1,,Endangered,Yes (high priority),Y,A,https://guides.nynhp.org/northern-cricket-frog/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.828419/Acris_crepitans/
Acroneuria abnormis,https://guides.nynhp.org/status/2.120337/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120337/Acroneuria_abnormis/
Acroneuria arenosa,https://guides.nynhp.org/status/2.113728/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113728/Acroneuria_arenosa/
Acroneuria carolinensis,https://guides.nynhp.org/status/2.112136/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112136/Acroneuria_carolinensis/
Acroneuria lycorias,https://guides.nynhp.org/status/2.113238/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113238/Acroneuria_lycorias/
Acronicta albarufa,https://guides.nynhp.org/status/2.1342811/,Barrens Dagger Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,S1,,,,Y,A,https://guides.nynhp.org/barrens-dagger-moth/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1342811/Acronicta_albarufa/
Acronicta dolli,https://guides.nynhp.org/status/2.109563/,Doll'sDagger Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G3G4,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109563/Acronicta_dolli/
Acrotona smithi,https://guides.nynhp.org/status/2.917242/,,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Staphylinidae (Rove Beetles),GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.917242/Acrotona_smithi/
Actitis macularius,https://guides.nynhp.org/status/2.105831/,Spotted Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105831/Actitis_macularius/
Adalia bipunctata,https://guides.nynhp.org/status/2.114622/,Two-spotted Lady Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Coccinellidae (Lady Beetles),G5,S2,,,Yes (high priority),Y,A,https://guides.nynhp.org/two-spotted-lady-beetle/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114622/Adalia_bipunctata/
Adicrophleps hitchcocki,https://guides.nynhp.org/status/2.754732/,a brachycentrid caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Brachycentridae,G3G4,S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.754732/Adicrophleps_hitchcocki/
Adoxa moschatellina,https://guides.nynhp.org/status/2.160182/,Musk Root,Dicotyledoneae (Dicots),Dipsacales,Viburnaceae,G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/musk-root/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160182/Adoxa_moschatellina/
Aechmophorus occidentalis,https://guides.nynhp.org/status/2.106135/,Western Grebe,Aves (Birds),Podicipediformes (Grebes),Podicipedidae (Grebes),G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106135/Aechmophorus_occidentalis/
Aegolius acadicus,https://guides.nynhp.org/status/2.106412/,Northern Saw-whet Owl,Aves (Birds),Strigiformes (Owls),Strigidae (Typical Owls),G5,S3,,Protected Bird,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106412/Aegolius_acadicus/
Aegolius funereus,https://guides.nynhp.org/status/2.105053/,Boreal Owl,Aves (Birds),Strigiformes (Owls),Strigidae (Typical Owls),G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105053/Aegolius_funereus/
Aellopos tantalus,https://guides.nynhp.org/status/2.109534/,Tantalus Sphinx,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Sphingidae (Sphinx or Hawk Moths),G4G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109534/Aellopos_tantalus/
Aellopos titan,https://guides.nynhp.org/status/2.120953/,Titan Sphinx,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Sphingidae (Sphinx or Hawk Moths),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120953/Aellopos_titan/
Aeshna canadensis,https://guides.nynhp.org/status/2.121119/,Canada Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121119/Aeshna_canadensis/
Aeshna clepsydra,https://guides.nynhp.org/status/2.112398/,Mottled Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G4G5,S4,,,,W,A,https://guides.nynhp.org/mottled-darner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112398/Aeshna_clepsydra/
Aeshna constricta,https://guides.nynhp.org/status/2.111932/,Lance-tipped Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111932/Aeshna_constricta/
Aeshna eremita,https://guides.nynhp.org/status/2.116134/,Lake Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116134/Aeshna_eremita/
Aeshna interrupta,https://guides.nynhp.org/status/2.119797/,Variable Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119797/Aeshna_interrupta/
Aeshna interrupta interrupta,https://guides.nynhp.org/status/2.119002/,,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5T5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119002/Aeshna_interrupta_interrupta/
Aeshna septentrionalis,https://guides.nynhp.org/status/2.120012/,Azure Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,SNR,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120012/Aeshna_septentrionalis/
Aeshna sitchensis,https://guides.nynhp.org/status/2.110273/,Zigzag Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110273/Aeshna_sitchensis/
Aeshna subarctica,https://guides.nynhp.org/status/2.108456/,Subarctic Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S1,,,Yes (potential),Y,A,https://guides.nynhp.org/subarctic-darner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108456/Aeshna_subarctica/
Aeshna tuberculifera,https://guides.nynhp.org/status/2.113082/,Black-tipped Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113082/Aeshna_tuberculifera/
Aeshna umbrosa,https://guides.nynhp.org/status/2.118551/,Shadow Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118551/Aeshna_umbrosa/
Aeshna umbrosa umbrosa,https://guides.nynhp.org/status/2.637584/,Shadow Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5T5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637584/Aeshna_umbrosa_umbrosa/
Aeshna verticalis,https://guides.nynhp.org/status/2.118552/,Green-striped Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118552/Aeshna_verticalis/
Agalinis decemloba,https://guides.nynhp.org/status/2.157615/,Sandplain Agalinis,Dicotyledoneae (Dicots),Scrophulariales,Orobanchaceae (Broom-Rape Family),G3G4,S1,Endangered,Endangered,,Y,P,https://guides.nynhp.org/sandplain-agalinis/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157615/Agalinis_decemloba/
Agalinis maritima var. maritima,https://guides.nynhp.org/status/2.156665/,Seaside Agalinis,Dicotyledoneae (Dicots),Scrophulariales,Orobanchaceae (Broom-Rape Family),G5T4,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/seaside-agalinis/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156665/Agalinis_maritima_var_maritima/
Agalinis paupercula,https://guides.nynhp.org/status/2.147913/,Small-flowered Agalinis,Dicotyledoneae (Dicots),Scrophulariales,Orobanchaceae (Broom-Rape Family),G5T5,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147913/Agalinis_paupercula/
Agapetus iridis,https://guides.nynhp.org/status/2.112862/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Glossosomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112862/Agapetus_iridis/
Agapetus minutus,https://guides.nynhp.org/status/2.108409/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Glossosomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108409/Agapetus_minutus/
Agapetus pinatus,https://guides.nynhp.org/status/2.118650/,,Insecta (Insects),Trichoptera (Caddisflies),Glossosomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118650/Agapetus_pinatus/
Agapetus tomus,https://guides.nynhp.org/status/2.119773/,a saddlecase caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Glossosomatidae,G5,S1S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119773/Agapetus_tomus/
Agapetus walkeri,https://guides.nynhp.org/status/2.943410/,,Insecta (Insects),Trichoptera (Caddisflies),Glossosomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.943410/Agapetus_walkeri/
Agapostemon angelicus,https://guides.nynhp.org/status/2.895841/,,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Halictidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.895841/Agapostemon_angelicus/
Agapostemon sericeus,https://guides.nynhp.org/status/2.882083/,Whitish Sweat Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Halictidae,G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.882083/Agapostemon_sericeus/
Agapostemon splendens,https://guides.nynhp.org/status/2.882084/,Splendid Sweat Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Halictidae,G5,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.882084/Agapostemon_splendens/
Agapostemon subtilior,https://guides.nynhp.org/status/2.1343062/,Fine Striped Sweat Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Halictidae,GNR,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1343062/Agapostemon_subtilior/
Agapostemon virescens,https://guides.nynhp.org/status/2.882086/,Bicoloured Sweat Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Halictidae,G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.882086/Agapostemon_virescens/
Agarodes distinctus,https://guides.nynhp.org/status/2.757829/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Sericostomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757829/Agarodes_distinctus/
Agarodes griseus,https://guides.nynhp.org/status/2.113620/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Sericostomatidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113620/Agarodes_griseus/
Agastache nepetoides,https://guides.nynhp.org/status/2.140036/,Yellow Giant Hyssop,Dicotyledoneae (Dicots),Lamiales,Lamiaceae (Mint Family),G5,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/yellow-giant-hyssop/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140036/Agastache_nepetoides/
Agelaius phoeniceus,https://guides.nynhp.org/status/2.102734/,Red-winged Blackbird,Aves (Birds),Passeriformes (Perching Birds),Icteridae,G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102734/Agelaius_phoeniceus/
Ageratina aromatica,https://guides.nynhp.org/status/2.132479/,Small White Snakeroot,Dicotyledoneae (Dicots),Asterales,Asteraceae (Aster Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/small-white-snakeroot/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132479/Ageratina_aromatica/
Agkistrodon contortrix,https://guides.nynhp.org/status/2.960824/,Copperhead,Reptilia (Reptiles),"Squamata (Lizards, Snakes and Amphisbaenians)",Viperidae (Vipers and Pit Vipers),G5,S3,,Game with no open season,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960824/Agkistrodon_contortrix/
Aglais milberti,https://guides.nynhp.org/status/2.119508/,Milbert's Tortoiseshell,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Nymphalidae (Brushfooted Butterflies),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119508/Aglais_milberti/
Agnetina capitata,https://guides.nynhp.org/status/2.117060/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117060/Agnetina_capitata/
Agnetina flavescens,https://guides.nynhp.org/status/2.114353/,,Insecta (Insects),Plecoptera (Stoneflies),Perlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114353/Agnetina_flavescens/
Agraylea costella,https://guides.nynhp.org/status/2.755144/,Costello Microcaddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G3G4,S2S3,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.755144/Agraylea_costella/
Agraylea multipunctata,https://guides.nynhp.org/status/2.118939/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Hydroptilidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118939/Agraylea_multipunctata/
Agrimonia rostellata,https://guides.nynhp.org/status/2.134263/,Woodland Agrimony,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/woodland-agrimony/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134263/Agrimonia_rostellata/
Agrius cingulata,https://guides.nynhp.org/status/2.106604/,Pink-spotted Hawk Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Sphingidae (Sphinx or Hawk Moths),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106604/Agrius_cingulata/
Agrostis mertensii,https://guides.nynhp.org/status/2.147294/,Northern Bent,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/northern-bentgrass/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147294/Agrostis_mertensii/
Agrotis obliqua,https://guides.nynhp.org/status/2.111164/,Oblique Dart,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S1,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111164/Agrotis_obliqua/
Agrotis stigmosa,https://guides.nynhp.org/status/2.111808/,A Dart Moth,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,SU,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111808/Agrotis_stigmosa/
Agrypnia colorata,https://guides.nynhp.org/status/2.113490/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113490/Agrypnia_colorata/
Agrypnia glacialis,https://guides.nynhp.org/status/2.757626/,Frozen Giant Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G4G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757626/Agrypnia_glacialis/
Agrypnia improba,https://guides.nynhp.org/status/2.107552/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107552/Agrypnia_improba/
Agrypnia straminea,https://guides.nynhp.org/status/2.757641/,A Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.757641/Agrypnia_straminea/
Agrypnia vestita,https://guides.nynhp.org/status/2.109388/,A Large Caddisfly,Insecta (Insects),Trichoptera (Caddisflies),Phryganeidae,G5?,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109388/Agrypnia_vestita/
Aix sponsa,https://guides.nynhp.org/status/2.104243/,Wood Duck,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,S5,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104243/Aix_sponsa/
Alasmidonta marginata,https://guides.nynhp.org/status/2.109839/,Elktoe,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G4,S3,,,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109839/Alasmidonta_marginata/
Alasmidonta undulata,https://guides.nynhp.org/status/2.111433/,Triangle Floater,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G4,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111433/Alasmidonta_undulata/
Alasmidonta varicosa,https://guides.nynhp.org/status/2.111437/,Brook Floater,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G3,S1,,Threatened,Yes (high priority),Y,A,https://guides.nynhp.org/brook-floater/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111437/Alasmidonta_varicosa/
Alasmidonta viridis,https://guides.nynhp.org/status/2.112021/,Slippershell Mussel,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G4G5,S1?,,,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112021/Alasmidonta_viridis/
